feature,importance
flat_0357,0.001455150590553288
flat_0597,0.001450247068837257
flat_0748,0.0014434799451812624
flat_0661,0.0014403817783593088
flat_0756,0.0014362935286553488
flat_0373,0.0014327142212170318
flat_0754,0.0014252285102997733
flat_0299,0.0013856713333371454
flat_0377,0.001383319891097273
flat_0322,0.0013791044077045378
flat_0745,0.0013786126548835892
flat_0358,0.0013541606384888485
flat_0659,0.0013528991105663114
flat_0730,0.001340071326205952
flat_0382,0.0013372202438957893
flat_0724,0.0013345907750966246
flat_0112,0.0013297613570217013
flat_0216,0.0013145571396068903
flat_0321,0.0013127171400956195
flat_0259,0.0013120835174490555
flat_0117,0.001307487168050073
flat_0647,0.0012997189438932978
flat_0583,0.0012966889797764228
flat_0723,0.001294401505523671
flat_0356,0.001293470461971125
flat_0586,0.0012928039729834789
flat_0258,0.001289980135182975
flat_0202,0.0012673685136561242
flat_0297,0.0012638452253827736
flat_0725,0.0012586723775363281
flat_0246,0.0012380098781385298
flat_0198,0.0012377109434875335
flat_0710,0.0012370885512989359
flat_0241,0.0012356710294685908
flat_0596,0.0012235446523912736
flat_0201,0.0012228693829653594
flat_0694,0.0011872266976504014
flat_0750,0.0011714799388722063
flat_0319,0.0011665025492723039
flat_0746,0.0011632747709613743
flat_0316,0.0011629803389841644
flat_0726,0.0011622771798543798
flat_0371,0.0011597697335461558
flat_0708,0.0011593355138084086
flat_0115,0.0011517047797460656
flat_0116,0.0011505604328558242
flat_0317,0.0011503689260282037
flat_0729,0.0011464336529465832
flat_0257,0.0011331263095408516
flat_0755,0.0011259312712526646
flat_0120,0.001119276548885787
flat_0585,0.0011182794839011837
flat_0758,0.0011066577452931118
flat_0709,0.0010777072929028422
flat_0626,0.001075174425136313
flat_0383,0.001071275336525431
flat_0625,0.0010689795118822107
flat_0578,0.0010678267114042855
flat_0712,0.0010590161893325916
flat_0747,0.0010571346804337644
flat_0113,0.0010524624716350764
flat_0090,0.0010441162423101011
flat_0064,0.001043977245835731
flat_0315,0.0010434037277081843
flat_0247,0.0010403292752688897
flat_0197,0.0010329632164256814
flat_0379,0.0010151544961162682
flat_0580,0.0010074110309341092
flat_0577,0.0009998402541468482
flat_0372,0.0009942744504134581
flat_0318,0.0009938432436671217
flat_0248,0.000993297279735566
flat_0696,0.0009823476176069766
flat_0320,0.0009719649265218334
flat_0195,0.0009694710768745314
flat_0118,0.0009530094894845463
peak_omega_d0,0.0009430303863454635
flat_0256,0.0009321615656755983
flat_0561,0.0009291533243667734
flat_0087,0.0009264828137988614
flat_0179,0.0009125510902583231
flat_0757,0.0009122453817491845
flat_0695,0.0009114882974244458
flat_0200,0.0009057559888338333
flat_0595,0.0009044178982477473
flat_0194,0.0008952248117573767
flat_0088,0.0008877202252756491
flat_0579,0.000868068905156618
flat_0707,0.0008657465879602308
flat_0563,0.0008630598118896812
flat_0627,0.000859600944052218
flat_0706,0.0008487373621702408
flat_0759,0.0008233183179740041
flat_0587,0.0008085971996769415
peak_omega_ratio,0.0007946322892538038
flat_0699,0.0007625391140553096
flat_0589,0.000762045024187404
flat_0381,0.0007488909610549239
flat_0562,0.0007310103947305804
flat_0110,0.0007289366230253281
flat_0632,0.0007265050685718469
flat_0633,0.000726138112603066
flat_0196,0.0007201143170412499
flat_0698,0.0007162811162205238
flat_0760,0.0007045464875050158
flat_0697,0.0006995830321360112
flat_0762,0.0006913100926964856
flat_0436,0.0006895319676537203
flat_0380,0.0006860944731464805
flat_0438,0.0006817064962359649
flat_0761,0.0006612877375178748
flat_0564,0.0006601862266696385
flat_0375,0.0006474142430786149
flat_0192,0.0006284585963012669
flat_0700,0.0006262604474171052
flat_0705,0.0006254654799427985
flat_0628,0.0006179131727045413
flat_0378,0.0005978635087277908
flat_0566,0.0005916900526214352
flat_0631,0.0005886182217279603
flat_0764,0.0005860726193764171
flat_0634,0.0005796197724200653
flat_0114,0.0005764522250524005
flat_0249,0.0005756652712276769
flat_0636,0.0005731649074499818
flat_0701,0.0005684076906040498
flat_0440,0.00056159849981104
flat_0629,0.000557746196854746
flat_0193,0.0005548298811600287
flat_0199,0.0005476688372675646
flat_0593,0.0005416814299051701
flat_0128,0.0005414862958324375
flat_0588,0.0005399558611923789
flat_0702,0.0005379630291979013
flat_0594,0.0005312074287627659
flat_0376,0.000530536982212308
flat_0121,0.0005216189816170984
