arm,time_seconds,ax,ay,az,gx,gy,gz,mx,my,mz
arm1,431.048,-0.41595458984375,-0.8907318115234375,0.3050994873046875,-0.051295943558216095,0.2545068562030792,-0.07647053897380829,51.83758544921875,92.05860900878906,-148.56332397460938
arm1,431.068,-0.4095916748046875,-0.883636474609375,0.3101654052734375,-0.11325918138027191,0.26662877202033997,-0.05703052878379822,51.86833190917969,92.05436706542969,-148.6191864013672
arm1,431.088,-0.4052581787109375,-0.8856964111328125,0.31292724609375,-0.171194389462471,0.27873602509498596,-0.03236885741353035,51.80397033691406,92.16734313964844,-148.78997802734375
arm1,431.11,-0.4012603759765625,-0.888427734375,0.31622314453125,-0.2264949232339859,0.2884352505207062,-0.01576964184641838,52.08396911621094,92.17658996582031,-148.87030029296875
arm1,431.127,-0.3935089111328125,-0.8810882568359375,0.3145599365234375,-0.27974456548690796,0.2848346531391144,0.012478507123887539,52.08396911621094,92.17658996582031,-148.87030029296875
arm1,431.147,-0.3823089599609375,-0.8771514892578125,0.3189239501953125,-0.3231189250946045,0.26682478189468384,0.04247049614787102,51.88359069824219,92.00079345703125,-149.25657653808594
arm1,431.168,-0.36322021484375,-0.868194580078125,0.321533203125,-0.3509172797203064,0.22148577868938446,0.08042772859334946,51.86289978027344,91.91326904296875,-149.26666259765625
arm1,431.187,-0.346893310546875,-0.8748321533203125,0.324066162109375,-0.3603706955909729,0.1531541347503662,0.11944890022277832,51.859527587890625,91.87403869628906,-149.29574584960938
arm1,431.207,-0.33642578125,-0.891143798828125,0.3302459716796875,-0.366413950920105,0.07558024674654007,0.13369707763195038,51.73451232910156,92.10153198242188,-149.51669311523438
arm1,431.227,-0.3402862548828125,-0.8962860107421875,0.3315582275390625,-0.37308862805366516,-0.014796257019042969,0.13426220417022705,51.66259765625,92.05880737304688,-149.61827087402344
arm1,431.247,-0.3382415771484375,-0.8999176025390625,0.3367156982421875,-0.3855346441268921,-0.07947618514299393,0.1238926500082016,51.45240783691406,92.10107421875,-150.05499267578125
arm1,431.267,-0.3414459228515625,-0.8994293212890625,0.343719482421875,-0.3996315598487854,-0.12529560923576355,0.10175805538892746,51.45240783691406,91.91818237304688,-150.388916015625
arm1,431.287,-0.350799560546875,-0.89300537109375,0.3468780517578125,-0.41558387875556946,-0.15083105862140656,0.07024939358234406,51.59710693359375,92.16554260253906,-150.99256896972656
arm1,431.307,-0.355743408203125,-0.866180419921875,0.3512115478515625,-0.420660138130188,-0.1476496458053589,0.03772713989019394,51.461273193359375,91.98643493652344,-151.09397888183594
arm1,431.327,-0.353729248046875,-0.8478851318359375,0.350555419921875,-0.40720638632774353,-0.12530332803726196,0.017910290509462357,51.573760986328125,92.02348327636719,-151.57064819335938
arm1,431.347,-0.3473663330078125,-0.83941650390625,0.3549957275390625,-0.3757059872150421,-0.10072474926710129,0.003742806613445282,51.37248229980469,91.808349609375,-151.71603393554688
arm1,431.367,-0.3506927490234375,-0.8307342529296875,0.3543243408203125,-0.325655072927475,-0.07784739136695862,-0.011426558718085289,51.34230041503906,91.92709350585938,-152.1981658935547
arm1,431.387,-0.3417816162109375,-0.8419647216796875,0.3546142578125,-0.2664410173892975,-0.05120566487312317,-0.016937438398599625,51.27391052246094,91.9532470703125,-152.0655975341797
arm1,431.407,-0.332855224609375,-0.8440704345703125,0.3630828857421875,-0.20537365972995758,-0.04650864750146866,-0.024567395448684692,51.397247314453125,91.79104614257812,-152.4719696044922
arm1,431.427,-0.3248291015625,-0.8393096923828125,0.3647918701171875,-0.1449044644832611,-0.10041901469230652,-0.010335994884371758,51.40870666503906,91.86129760742188,-152.61228942871094
arm1,431.447,-0.3164215087890625,-0.8473052978515625,0.3616943359375,-0.07544202357530594,-0.17085589468479156,0.01443779468536377,51.410888671875,91.74116516113281,-152.62478637695312
